   1 18.5  7.0 1 13.2
   1 18.5  7.0 0  9.2
   1 18.5  7.0 0  9.0
   1 18.5  7.0 0  9.0
   2 16.5  6.5 1 13.5
   2 16.5  6.5 1 12.5
   2 16.5  6.5 0  5.5
   2 16.5  6.5 0  5.5
   3 15.0  4.0 1 11.0
   3 15.0  4.0 0  8.0
   4 15.0  4.0 1 10.5
   4 15.0  4.0 1  8.5
   4 15.0  4.0 0  7.0
   4 15.0  4.0 0  4.5
   4 15.0  4.0 0  3.0
   5 15.0 -1.5 1 12.0
   5 15.0 -1.5 1  9.0
   5 15.0 -1.5 1  8.0
   5 15.0 -1.5 0  6.5
   5 15.0 -1.5 0  2.5
   5 15.0 -1.5 0  2.5
   6 14.0  8.0 0  9.5
   7 14.0  8.0 1 16.5
   7 14.0  8.0 1 14.0
   7 14.0  8.0 1 13.0
   7 14.0  8.0 1 13.0
   7 14.0  8.0 0 10.5
   7 14.0  8.0 0  4.0
   8 14.0  6.5 0 10.5
   8 14.0  6.5 0  8.0
   8 14.0  6.5 0  6.0
   9 14.5  6.0 0  6.0
  10 14.0  5.5 0  5.5
  11 14.0  2.0 1 14.0
  11 14.0  2.0 1 10.0
  11 14.0  2.0 0  8.0
  11 14.0  2.0 0  7.0
  11 14.0  2.0 0  7.0
  11 14.0  2.0 0  6.0
  11 14.0  2.0 0  3.5
  11 14.0  2.0 0  3.0
  12 14.0  1.0 0  5.0
  13 13.0  7.0 1 11.0
  13 13.0  7.0 0  2.0
  14 13.0  7.0 1  8.0
  14 13.0  7.0 1  7.0
  15 13.0  6.5 1 11.0
  15 13.0  6.5 1 10.5
  15 13.0  6.5 0  6.7
  16 13.0  5.0 1 12.0
  16 13.0  5.0 1 10.5
  16 13.0  5.0 1 10.2
  16 13.0  5.0 1 10.2
  16 13.0  5.0 1  9.2
  16 13.0  5.0 0  8.7
  16 13.0  5.0 0  6.5
  16 13.0  5.0 0  4.5
  16 13.0  5.0 0  3.5
  17 13.0  4.5 1 14.0
  17 13.0  4.5 1 13.0
  17 13.0  4.5 1 11.5
  17 13.0  4.5 1  2.5
  17 13.0  4.5 0  6.5
  17 13.0  4.5 0  2.3
  18 13.0  4.0 0  6.0
  18 13.0  4.0 0  4.5
  18 13.0  4.0 0  4.0
  19 13.2  3.0 0  2.7
  20 12.7  9.0 1 13.2
